loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_bmasse,pl_bmassj,pl_orbeccen,st_mass,st_logg,sy_dist
19594,Kepler-247 b,Kepler-247,1,3,Transit,2014,3.33616,,,,,4.61,663.711
19605,Kepler-247 c,Kepler-247,1,3,Transit,2014,9.43946119,,,,0.81,4.49,663.711
19615,Kepler-247 d,Kepler-247,1,3,Transit,2014,20.47735749,,,0.0,0.88,4.59,663.711
19626,Kepler-248 b,Kepler-248,1,2,Transit,2014,6.30820323,,,0.0,0.94,4.56,738.792
19637,Kepler-248 c,Kepler-248,1,2,Transit,2014,16.23946714,,,0.0,0.94,4.56,738.792
19652,Kepler-249 b,Kepler-249,1,3,Transit,2014,3.30654898,,,0.0,0.44,4.83,190.401
19667,Kepler-249 c,Kepler-249,1,3,Transit,2014,7.11388016,,,,0.44,,190.401
19682,Kepler-249 d,Kepler-249,1,3,Transit,2014,15.36843606,,,0.0,0.44,4.83,190.401
19698,Kepler-25 b,Kepler-25,2,3,Transit,2011,6.23853477,,,0.0,1.19,4.28,243.249
19715,Kepler-25 c,Kepler-25,2,3,Transit,2011,12.72037026,,,0.0,1.1,4.28,243.249
19717,Kepler-25 d,Kepler-25,2,3,Radial Velocity,2014,123.0,89.9,0.283,,1.19,4.28,243.249
19727,Kepler-250 b,Kepler-250,1,3,Transit,2014,4.14787,,,0.0,0.75,4.56,760.585
19738,Kepler-250 c,Kepler-250,1,3,Transit,2014,7.156816,,,0.0,0.75,4.56,760.585
19749,Kepler-250 d,Kepler-250,1,3,Transit,2014,17.64830992,,,0.0,0.85,4.57,760.585
19759,Kepler-251 b,Kepler-251,1,4,Transit,2014,4.790936,,,,,4.49,924.625
19770,Kepler-251 c,Kepler-251,1,4,Transit,2014,16.51410989,,,0.0,0.84,4.49,924.625
19781,Kepler-251 d,Kepler-251,1,4,Transit,2014,30.1329303,,,,0.95,4.5,924.625
19791,Kepler-251 e,Kepler-251,1,4,Transit,2014,99.6409653,,,0.0,0.94,4.35,924.625
19802,Kepler-252 b,Kepler-252,1,2,Transit,2014,6.66834872,,,0.0,0.61,4.68,379.424
19814,Kepler-252 c,Kepler-252,1,2,Transit,2014,10.84844792,,,0.0,0.61,4.68,379.424
19824,Kepler-253 b,Kepler-253,1,3,Transit,2014,3.78402353,,,,0.83,4.5,838.595
19835,Kepler-253 c,Kepler-253,1,3,Transit,2014,10.28193397,,,,0.83,4.5,838.595
19846,Kepler-253 d,Kepler-253,1,3,Transit,2014,18.11993039,,,,0.83,4.5,838.595
19857,Kepler-254 b,Kepler-254,1,3,Transit,2014,5.82665919,,,0.0,0.97,4.53,1389.48
19869,Kepler-254 c,Kepler-254,1,3,Transit,2014,12.41216347,,,0.0,0.94,4.36,1389.48
19881,Kepler-254 d,Kepler-254,1,3,Transit,2014,,,,,,,1389.48
19891,Kepler-255 b,Kepler-255,1,3,Transit,2014,5.71462004,,,0.0,1.01,4.55,1052.53
19902,Kepler-255 c,Kepler-255,1,3,Transit,2014,9.94603603,,,,0.9,4.53,1052.53
19911,Kepler-255 d,Kepler-255,1,3,Transit,2016,1.04562195,,,0.0,0.87,4.37,1052.53
19921,Kepler-256 b,Kepler-256,1,4,Transit,2014,1.62046784,,,0.0,1.07,4.5,1026.43
19931,Kepler-256 c,Kepler-256,1,4,Transit,2014,3.38801185,,,0.0,1.07,4.5,1026.43
19941,Kepler-256 d,Kepler-256,1,4,Transit,2014,5.83909761,,,0.0,0.95,4.22,1026.43
19952,Kepler-256 e,Kepler-256,1,4,Transit,2014,10.68167916,,,0.0,1.07,4.5,1026.43
19962,Kepler-257 b,Kepler-257,1,3,Transit,2014,2.38264321,,,,0.82,4.47,780.256
19972,Kepler-257 c,Kepler-257,1,3,Transit,2014,6.58147884,,,0.0,0.87,4.4,780.256
19982,Kepler-257 d,Kepler-257,1,3,Transit,2014,24.66459711,,,0.0,0.87,4.4,780.256
19993,Kepler-258 b,Kepler-258,1,2,Transit,2014,13.19722,,,,,4.44,575.988
20004,Kepler-258 c,Kepler-258,1,2,Transit,2014,33.65292978,,,,0.79,4.6,575.988
20015,Kepler-259 b,Kepler-259,1,2,Transit,2014,8.11529219,,,0.0,0.98,4.53,1002.14
20026,Kepler-259 c,Kepler-259,1,2,Transit,2014,36.92514966,,,,0.99,4.54,1002.14
20042,Kepler-26 b,Kepler-26,1,4,Transit,2011,,,,,,,335.307
20059,Kepler-26 c,Kepler-26,1,4,Transit,2011,17.251,,,,0.47,4.81,335.307
20073,Kepler-26 d,Kepler-26,1,4,Transit,2014,3.543867,,,0.0,0.63,4.72,335.307
20086,Kepler-26 e,Kepler-26,1,4,Transit,2014,46.82767725,,,,0.7,4.96,335.307
20097,Kepler-260 b,Kepler-260,1,2,Transit,2014,8.187399,,,,,4.49,627.365
20108,Kepler-260 c,Kepler-260,1,2,Transit,2014,76.0510651,,,0.0,0.93,4.57,627.365
20119,Kepler-261 b,Kepler-261,1,2,Transit,2014,10.38123233,,,,0.86,4.64,317.499
20130,Kepler-261 c,Kepler-261,1,2,Transit,2014,24.57081569,,,0.0,0.86,4.59,317.499
20141,Kepler-262 b,Kepler-262,1,2,Transit,2014,,,,,,,613.129
20152,Kepler-262 c,Kepler-262,1,2,Transit,2014,21.8536791,,,,1.03,4.41,613.129
20163,Kepler-263 b,Kepler-263,1,2,Transit,2014,16.56805949,,,0.0,0.83,4.57,754.747
20174,Kepler-263 c,Kepler-263,1,2,Transit,2014,47.33304842,,,,0.88,4.65,754.747
20185,Kepler-264 b,Kepler-264,1,2,Transit,2014,40.8065333,,,,1.21,3.97,942.173
20195,Kepler-264 c,Kepler-264,1,2,Transit,2014,140.10394,,,0.0,1.32,3.8,942.173
20205,Kepler-265 b,Kepler-265,1,4,Transit,2014,6.846113,,,0.0,1.15,4.44,1280.25
20216,Kepler-265 c,Kepler-265,1,4,Transit,2014,17.02902105,,,0.0,1.04,4.47,1280.25
20226,Kepler-265 d,Kepler-265,1,4,Transit,2014,43.1308082,,,,0.98,4.41,1280.25
20237,Kepler-265 e,Kepler-265,1,4,Transit,2014,67.83183963,,,,1.09,4.53,1280.25
20248,Kepler-266 b,Kepler-266,1,2,Transit,2014,6.61833608,,,,0.97,4.33,1370.79
20259,Kepler-266 c,Kepler-266,1,2,Transit,2014,107.7215744,,,0.0,1.05,4.44,1370.79
20275,Kepler-267 b,Kepler-267,1,3,Transit,2014,3.353707,,,0.0,0.55,4.74,264.993
20290,Kepler-267 c,Kepler-267,1,3,Transit,2014,6.87744623,,,,0.54,4.7,264.993
20304,Kepler-267 d,Kepler-267,1,3,Transit,2014,28.46462622,,,0.0,0.49,4.78,264.993
20315,Kepler-268 b,Kepler-268,1,2,Transit,2014,25.9340674,,,0.0,1.07,4.36,851.87
20326,Kepler-268 c,Kepler-268,1,2,Transit,2014,83.44629501,,,,1.11,4.23,851.87
20337,Kepler-269 b,Kepler-269,1,2,Transit,2014,,,,,,,2257.32
20347,Kepler-269 c,Kepler-269,1,2,Transit,2014,8.127899,,,,,4.5,2257.32
20358,Kepler-27 b,Kepler-27,1,3,Transit,2011,15.33525912,,,,0.95,4.55,1044.36
20369,Kepler-27 c,Kepler-27,1,3,Transit,2011,31.33,21.2,0.067,,0.98,,1044.36
20377,Kepler-27 d,Kepler-27,1,3,Transit,2021,6.54626058,,,0.0,0.98,4.56,1044.36
20388,Kepler-270 b,Kepler-270,1,2,Transit,2014,11.47609015,,,,1.16,4.3,948.781
20399,Kepler-270 c,Kepler-270,1,2,Transit,2014,25.2630268,,,0.0,1.16,4.27,948.781
20410,Kepler-271 b,Kepler-271,1,3,Transit,2014,10.43547805,,,0.0,0.82,4.45,404.542
20421,Kepler-271 c,Kepler-271,1,3,Transit,2014,,,,,,,404.542
20430,Kepler-271 d,Kepler-271,1,3,Transit,2016,5.24970432,,,0.0,0.84,4.5,404.542
20441,Kepler-272 b,Kepler-272,1,3,Transit,2014,2.9713641,,,0.0,0.78,4.47,889.608
20453,Kepler-272 c,Kepler-272,1,3,Transit,2014,6.05729966,,,0.0,0.86,4.37,889.608
20464,Kepler-272 d,Kepler-272,1,3,Transit,2014,,,,,,,889.608
20474,Kepler-273 b,Kepler-273,1,2,Transit,2014,2.93652697,,,0.0,0.78,4.51,713.964
20485,Kepler-273 c,Kepler-273,1,2,Transit,2014,,,,,,,713.964
20494,Kepler-274 b,Kepler-274,1,2,Transit,2014,11.634864,,,0.0,0.99,4.43,1333.62
20504,Kepler-274 c,Kepler-274,1,2,Transit,2014,,,,,,,1333.62
20514,Kepler-275 b,Kepler-275,1,3,Transit,2014,10.300682,,,,,4.23,2034.25
20525,Kepler-275 c,Kepler-275,1,3,Transit,2014,16.08819979,,,,1.2,4.2,2034.25
20536,Kepler-275 d,Kepler-275,1,3,Transit,2014,35.6757453,,,0.0,1.08,4.22,2034.25
20547,Kepler-276 b,Kepler-276,1,3,Transit,2014,14.12847677,,,0.0,1.04,4.48,1144.86
20558,Kepler-276 c,Kepler-276,1,3,Transit,2013,31.88293,,,0.0,1.05,4.5,1144.86
20570,Kepler-276 d,Kepler-276,1,3,Transit,2013,48.6476601,,,0.0,1.1,4.46,1144.86
20582,Kepler-277 b,Kepler-277,1,2,Transit,2013,17.32417247,,,,1.21,4.13,976.643
20594,Kepler-277 c,Kepler-277,1,2,Transit,2013,33.00622327,,,,1.08,3.95,976.643
20606,Kepler-278 b,Kepler-278,1,2,Transit,2014,30.16012,,,0.0,1.08,3.94,443.03
20618,Kepler-278 c,Kepler-278,1,2,Transit,2014,51.075756,,,0.0,1.3,3.62,443.03
20629,Kepler-279 b,Kepler-279,1,3,Transit,2014,12.3097136,,,,1.32,4.12,1037.4
20640,Kepler-279 c,Kepler-279,1,3,Transit,2013,35.7353616,,,,1.42,4.33,1037.4
20650,Kepler-279 d,Kepler-279,1,3,Transit,2013,,,,,,,1037.4
20662,Kepler-28 b,Kepler-28,1,2,Transit,2011,,,,,,,438.359
20674,Kepler-28 c,Kepler-28,1,2,Transit,2011,8.9858,432.23,1.36,,0.75,4.29,438.359
20685,Kepler-280 b,Kepler-280,1,2,Transit,2014,2.13953869,,,,0.95,4.38,780.361
20696,Kepler-280 c,Kepler-280,1,2,Transit,2014,4.80710342,,,,0.95,4.38,780.361
20707,Kepler-281 b,Kepler-281,1,3,Transit,2014,14.64613058,,,0.0,0.98,4.54,1745.45
20718,Kepler-281 c,Kepler-281,1,3,Transit,2014,36.33730238,,,0.0,0.98,4.54,1745.45
20726,Kepler-281 d,Kepler-281,1,3,Transit,2021,148.2720032,,,,0.98,4.54,1745.45
20736,Kepler-282 b,Kepler-282,1,4,Transit,2014,9.2206889,,,0.0,0.97,4.53,1337.61
20746,Kepler-282 c,Kepler-282,1,4,Transit,2014,13.639525,,,,0.9,4.49,1337.61
20757,Kepler-282 d,Kepler-282,1,4,Transit,2013,24.80568031,,,,0.9,4.49,1337.61
20768,Kepler-282 e,Kepler-282,1,4,Transit,2013,,,,,,,1337.61
20781,Kepler-283 b,Kepler-283,1,2,Transit,2014,11.008163,,,,0.66,4.66,468.094
20793,Kepler-283 c,Kepler-283,1,2,Transit,2014,92.749023,,,0.0,0.76,4.6,468.094
20804,Kepler-284 b,Kepler-284,1,2,Transit,2014,12.69902995,,,0.0,0.91,4.56,1031.95
